review_count,business_id,name,city,state,latitude,longitude,stars ,category
3,6f9h_01iWsdQLW1yeC93zg,Axis Wellness Center,Chandler,AZ,33.28958893,-111.876915,5, 'Chiropractors'
4,0TUrORONATAbBVpyFvFUVQ,Family Healing Chiropractic Center,Charlotte,NC,35.08636856,-80.84035492,1.5, 'Chiropractors'
7,4m7aoo4-CWH08FMno5daow,Hoctor Chiropractic and Family Wellness,Cornelius,NC,35.48361969,-80.86776733,5, 'Chiropractors'
3,1wletarIeb6n59dr-QyJBA,Get Well Be Well,Gilbert,AZ,33.37707901,-111.7529831,5, 'Chiropractors'
4,7H9ySAIdG0j3rN3RuzFOhQ,Chiropractic Solutions,Goodyear,AZ,33.46538544,-112.3589935,4, 'Chiropractors'
8,3_WDpifCVPgGg5tq-zG7IA,Community Chiropractic Center,Las Vegas,NV,36.28149033,-115.266716,5, 'Chiropractors'
3,Hdp_N3M5qdyAe2fGKZ-VzQ,Midwest Spine And Nerve Center,Madison,WI,43.08123016,-89.53350067,5, 'Chiropractors'
8,2GrGSJ9cK3uc1TJRd0g4sA,Campbell Chiropractic Center,Mesa,AZ,33.40763092,-111.8077393,3.5, 'Chiropractors'
17,1TZ1AGd22wIchtsWkTeG5Q,Haggard Chiropractic,Phoenix,AZ,33.50845337,-112.2676773,5, 'Chiropractors'
4,DHauK_jCbcHozBBujcZtew,West Hills Medical Center,Pittsburgh,PA,40.45119858,-80.18344879,2, 'Chiropractors'
6,A-KYhjv76UVrOYHWCPfagw,McCartney Michael R DC PC,Scottsdale,AZ,33.58439636,-111.8883972,4.5, 'Chiropractors'
5,8Ub0Insx8JHhUxaLYxf8iw,Head 2 Toe Chiropractic & Health Care Center,Tempe,AZ,33.33463669,-111.9139633,5, 'Chiropractors'
7,6soO5TcIigL6DI44iSo3YA,Integrative Health Institute,Toronto,ON,43.65097046,-79.36825562,4.5, 'Chiropractors'
